Hour,Hourly Load,Hourly Price
1,12468,32.18
2,12638.7,59.04
3,12624.8,18.79
4,12597.8,15.78
5,12593.6,0.41
6,12553.5,14.34
7,12283.7,5.61
8,12271.5,14.29
9,12225,2.2
10,12226.2,14.35
11,12213.1,22.93
12,12154.1,33.49
13,12056.4,32.78
14,12076.4,15.73
15,12050.2,14.37
16,12000.1,12.98
17,12004.3,27.56
18,12070.9,33.39
19,12047.7,26.43
20,12054.1,32.87
21,12042.9,22.87
22,12016.9,10.86
23,11980.2,13.06
24,11893.7,15.16
1,11904.6,14.45
2,11896.5,14.26
3,11901.5,10.4
4,11942.4,10.41
5,11932.2,10.38
6,11963.3,10.4
7,11970.8,4.81
8,11963.2,1.21
9,11991.2,10.45
10,11977.5,16.07
11,11968.2,30.5
12,11896.9,25.48
13,11881.4,30.65
14,11851.2,35.43
15,11814.9,36.42
16,11788.4,35.16
17,11741.9,36.51
18,11711.1,38.13
19,11680.9,38.03
20,11700.3,38.08
21,11692.7,38.02
22,11698.9,38.01
23,11779.1,36.65
24,11798.8,33.01
1,11816.1,36.63
2,11896.3,36.55
3,11992.8,34.43
4,12069.9,34.5
5,12065.8,33.5
6,12106.8,33.99
7,12134.5,35.55
8,12165.9,37.9
9,12208.2,37.02
10,12189.7,37.68
11,12233.5,38.49
12,12499.2,38.8
13,12593.2,38.46
14,12728.1,38.04
15,12872,34.8
16,12941.9,36.19
17,13028.5,38.36
18,13292.8,39.21
19,13428.2,38.06
20,13514,35.27
21,13639,34.76
22,13770.4,33.8
23,13852.6,32.25
24,14025.3,16.12
1,14107.3,19.02
2,14224.5,21.31
3,14312.9,13.58
4,14495.2,22.95
5,14586.1,33.37
6,14694.3,37.3
7,14727.7,38.39
8,14786.4,38.93
9,14995.1,41.99
10,15111.7,37.31
11,15157.4,36.93
12,15232.6,37.23
13,15260,37.17
14,15404.5,33.55
15,15326.8,33.87
16,15317.4,31.83
17,15310,35.9
18,15221,42
19,15389.2,35.27
20,15365.5,35.56
21,15426.3,35.76
22,15421.8,34.15
23,15455.5,38.36
24,15466.8,21.95
1,15459.3,8.16
2,15512.4,0.82
3,15431.5,0
4,15427.4,0
5,15348,0
6,15363.8,0
7,15371.8,0
8,15354.2,0.83
9,15431.8,3.85
10,15338.1,14.34
11,15300.9,37.33
12,15316.4,37.67
13,15347.9,35.06
14,15342.1,34.3
15,15300.2,39.85
16,15290.6,35.83
17,15300.8,30.33
18,15142.8,35.98
19,15123.6,33.62
20,15093.1,19.66
21,15071.4,31.96
22,15098.8,16.25
23,15224.8,8.19
24,15194,0.47
1,15127.9,0
2,15048.4,0
3,15029.2,5.68
4,15010.6,14.36
5,14999.1,12.93
6,14980.5,7.53
7,14969.5,18.86
8,14972.5,38.12
9,14958.1,35.79
10,14826.5,37.84
11,14830.3,37.82
12,14807.4,37.98
13,14807.6,39.03
14,14718.1,40.24
15,14649.1,38.64
16,14634,41.54
17,14524,44.39
18,14482.2,54.44
19,14429.7,44.56
20,14407.4,42.13
21,14432.7,42.67
22,14439.9,41.4
23,14427.5,38.87
24,14408.8,38.52
1,14374,39.22
2,14395.8,37.14
3,14406.1,37.12
4,14381.6,36.91
5,14265.8,32.41
6,14195.6,34.74
7,14157.9,39.16
8,14112,41.81
9,14093.2,41.69
10,14174.4,41.96
11,14192.9,40.97
12,14185.8,40.94
13,14186.1,40.82
14,14169.3,38.82
15,14146.9,37.35
16,14122.1,36.82
17,14069.7,41.2
18,14043.7,50.68
19,13882.6,47.08
20,13883.4,47.15
21,13885.7,51.26
22,13872.4,49.93
23,13903.1,42.68
24,13881,41.09
1,13876.1,41.44
2,13832.2,40.52
3,13821,38.99
4,13827.9,39.61
5,13797.7,42.26
6,13754.9,42.59
7,13730.1,36.07
8,13708.1,35.67
9,13736.2,29.43
10,13723.3,27.06
11,13769.8,35.74
12,13808.3,34.99
13,13827.8,35.01
14,13886.2,33.86
15,13936.1,35.21
16,13991.7,35.6
17,13957.8,39.66
18,13982.1,104.99
19,13996.8,45.21
20,13991.1,37.51
21,13995.7,37.08
22,14076.3,31.78
23,14121.8,27.07
24,14190,18.21
1,14227.8,14.31
2,14207.8,24.24
3,14210.3,2.18
4,14223,0
5,14293.6,0
6,14341.1,0
7,14358.6,3.35
8,14387.9,13.58
9,14453.8,14.38
10,14477.2,21.3
11,14486.4,14.38
12,14474.9,10.24
13,14551.1,3.71
14,14514,5.62
15,14464.8,0
16,14405.8,0
17,14418.3,2.58
18,14435.3,12.25
19,14573,5.95
20,14623.4,7.49
21,14682.8,16.24
22,14677.7,21.07
23,14779.5,13.44
24,14720.5,5.41
1,14745.3,10.41
2,14920.1,19.44
3,15016.3,13.35
4,15192,13.35
5,15161.4,25.53
6,15174.9,16.69
7,15195.8,32.51
8,15197.7,38.08
9,15158.9,37.7
10,15170.5,37.7
11,15207.2,37.09
12,15123.4,36.91
13,15182.3,35.72
14,15302.4,35.31
15,15381,34.76
16,15323.3,31.9
17,15369.3,34.58
18,15429.5,38.31
19,15416.9,37.34
20,15447,36.96
21,15474.5,37.59
22,15580.8,23.95
23,15571.7,15.34
24,15650.5,35.18
1,15631.3,36.57
2,15557.8,25.2
3,15569.5,27.37
4,15538.7,37.5
5,15489.1,38.47
6,15455.4,38.49
7,15401.6,44.77
8,15423.1,78.66
9,15298.1,151.6
10,15221.3,230.87
11,15165.1,160.14
12,15202.8,51.64
